Station,Line,lat,lon
------
Auditorio,1,20.736018967085588,-103.35051009356293
Periférico Norte,1,20.730379909295248,-103.35244468323377
Dermatológico,1,20.720811126568034,-103.3533839188812
Atemajac,1,20.716053520905458,-103.35441662096518
División del Norte,1,20.707981802542637,-103.35563366266408
Ávila Camacho,1,20.69825239105358,-103.3548502693778
Mezquitán,1,20.691961274385886,-103.35356853209151
Refugio,1,20.682020651563466,-103.35376505325432
Juárez,1,20.675006427756575,-103.35466080001052
Mexicaltzingo,1,20.666791479645653,-103.3554258345174
Washington,1,20.661035901320137,-103.35748477714348
Santa Filomena,1,20.655032465845274,-103.36271705183997
Unidad Deportiva,1,20.647543381680585,-103.36878626463059
Urdaneta,1,20.64337024456123,-103.372676192063
18 de Marzo,1,20.638269734591915,-103.37696755121523
Isla Raza,1,20.63302059606748,-103.38056470272274
Patria,1,20.626965572209595,-103.38508392424596
España,1,20.621516017528396,-103.38940860272302
Santuario Mártires de Cristo Rey,1,20.61385031943758,-103.39563405203211
Periférico Sur,1,20.607242725064232,-103.40106323155912
------
Juárez,2,20.675006427756575,-103.35466080001052
Plaza Universidad,2,20.675203848619876,-103.34813176366826
San Juan de Dios,2,20.675493300799065,-103.34085211073818
Belisario Domínguez,2,20.67278940586296,-103.33147922978678
Oblatos,2,20.67030677053905,-103.3228540491637
Cristóbal de Oñate,2,20.667573532199892,-103.31341938732567
San Andrés,2,20.665310086157287,-103.3061509794481
San Jacinto,2,20.663907934657814,-103.2974096296245
La Aurora,2,20.66245379726648,-103.28576646950428
Tetlán,2,20.660052066945223,-103.2760459405853
------
Arcos De Zapopan,3,20.741181019258175,-103.4073945397646
Periférico Belenes,3,20.73811998615731,-103.40314530885692
Mercado Del Mar,3,20.72880554733007,-103.389238577259
Zapopan Centro,3,20.72059049978122,-103.38702801704127
Plaza Patria,3,20.712264688955134,-103.37505161196927
Circunvalación Country,3,20.706084596192376,-103.36588078823776
Ávila Camacho,3,20.69933107528294,-103.35487966894196
La Normal,3,20.69285053405492,-103.34835264840082
Santuario,3,20.68410678074599,-103.34793522266298
Guadalajara Centro,3,20.675815194815936,-103.34779125729732
Independencia,3,20.671088108913082,-103.34490008408133
Plaza de la Bandera,3,20.665083431523676,-103.3326360310298
CUCEI,3,20.6596986814928,-103.32414668674599
Revolución,3,20.65100449613437,-103.31033494721683
Río Nilo,3,20.644672340034997,-103.30400385147054
Tlaquepaque Centro,3,20.637498965943266,-103.2998771621114
Lázaro Cárdenas,3,20.632154674175506,-103.29618750962906
Central de Autobuses,3,20.62313411469872,-103.28496768260372